,beta1,beta2,alpha
Q1,-0.5498461582065408,-2.31336945495634,0.4707762433690148
Q2,3.015162894718549,-2.8129382565913863,-3.7037681222814633
Q3,-1.360845243537114,-1.0198223536471738,4.850577337518939
Q4,-2.1883238587701164,-1.4872680355083598,0.9258178353805898
Q5,2.6000752832481955,1.229900081452413,0.6770870302640658
Q6,3.3442904027265445,2.5186351160989924,-2.8118168825137175
Q7,-0.06094390760506381,3.092060399476202,3.073607574671396
Q8,2.8657980379511607,-2.598926274625051,1.0741532442957749
Q9,1.1945118471348142,-2.0747232523477073,-1.3682878839810422
Q10,2.944537379226197,4.764770047101878,-2.708581234939415
Q11,-0.8420060542703162,-3.4144050082349238,-1.6194292303661173
Q12,2.395001429291858,-1.2092513247823338,0.3055308090101509
Q13,-3.460698957089666,1.493795285780124,-0.42705085637552925
Q14,-1.4050948454586114,-3.0472368964766283,-0.32587562838906964
Q15,-4.286304182386824,-1.4777610099541392,-1.2520189217776232
Q16,-3.31482148715683,-3.3837325734436208,-3.7294762776830828
Q17,0.9965816457228761,2.310847601379693,0.2725363707054127
Q18,5.1351500890078565,-2.2787485214293577,-2.2006936566927644
Q19,1.086117406118831,-3.3005092760865877,-2.6166950266088196
Q20,-5.09345684479162,-1.3321945152794143,1.7790345432497683
Q21,4.632192060976571,0.6813257127195123,0.2394663323345374
Q22,2.0053663105673825,0.3723713951307933,0.7235290004579517
Q23,1.498684984620723,0.5316748482941597,0.567135638375767
Q24,2.9221607229131106,-0.4258880583455871,0.1966792412218395
Q25,1.5998489007462597,2.971816680949456,0.11713578020576987
Q26,1.7761234450904142,3.6315870886234434,3.095626679388108
Q27,3.2926455350640214,1.300527879550156,2.7463079044987935
Q28,2.644503795351056,2.0039581646424414,-4.383293737274909
Q29,-0.9543909155155369,4.18254916218439,-1.2820696255141755
Q30,3.1651270538796665,-1.9346249121315238,0.17624609095354624
Q31,2.3333838636926116,1.791978330696767,-0.40476277029323976
Q32,3.6315200795730167,-0.41240851960321806,2.1356809488684347
Q33,-4.251610532264545,-0.6825046297211848,0.41188218847106445
Q34,2.8982251238961725,-4.035066374666926,-3.131701481853185
Q35,3.5449175498766055,-2.8522248082425627,-1.6747397381774731
Q36,-0.9784425618209768,-1.8062842175218374,-1.0346675666466514
Q37,-3.3713129579387946,0.024665194482858126,-3.0064838922730974
Q38,2.763654979462033,-3.949151986370918,2.443323695231481
Q39,-0.8341774804074461,3.7680604678830334,-0.2289577827293564
Q40,1.2385027540208888,-3.499301024079142,2.7093013511393558
